EduType,SessionID,Delivery,ParticipantID,Progress_Progress,Duration_in_seconds_Duration_in_seconds,Q31_I_consent_to_the_University_processing_my_personal_data_for_the_purposes_detailed_above,Q4_Age,Q5_Specialisation,Q8_Stage_of_training__position,Q7_Gender,NFC1_I_would_prefer_complex_to_simple_problems,NFC2_I_like_to_have_the_responsibility_of_handling_a_situation_that_requires_a_lot_of_thinking,NFC3r_Thinking_is_not_my_idea_of_fun,NFC4r_I_would_rather_do_something_that_requires_little_thought_than_something_that_is_sure_to_challenge_my_thinking_abilities,NFC5_I_really_enjoy_a_task_that_involves_coming_up_with_new_solutions_to_problems,NFC6_I_would_prefer_a_task_that_is_intellectual_difficult_and_important_to_one_that_is_somewhat_important_but_does_not_require_much_thought,ExAnSt1_Given_your_current_understanding_how_optimistic_are_you_about_improvement_in_symptoms_in_patients_presenting_with_anxiety_disorder,ExAnSt2_Given_your_current_understanding_how_willing_do_you_think_patients_would_be_to_share_anxiety_disorder_diagnoses,ExAnSt3_Given_your_current_understanding_how_effective_do_you_think_a_combination_of_medication_and_psychotherapy_will_be_to_improve_outcomes_in_anxiety_disorder,ExAnSt4_Given_your_current_understanding_how_effective_do_you_think_psychosocial_interventions_will_be_in_improving_outcomes_in_anxiety_disorder,ExAnSt5_Given_your_current_understanding_how_strong_a_role_do_individuals_have_to_instigate_or_mitigate_their_anxiety,ExAnSt6_Given_your_current_understanding_how_unchangeable_are_an_individuals_anxiety_symptoms,ExAnSt7_Given_your_current_understanding_how_deeply_do_you_feel_you_understand_anxiety_disorders,ExAnSt8_Given_current_public_knowledge_of_anxiety_how_willing_do_you_think_people_are_to_seek_psychiatric_help_for_anxiety,Attention1_If_you_are_paying_attention_to_this_questionnaire_please_select_option_2,EBQ1_Once_people_are_experiencing_negative_emotions_there_is_nothing_they_can_do_about_modifying_them,EBQ2_People_cannot_control_their_positive_emotions,EBQ3_There_is_very_little_use_for_negative_emotions,EBQ4_Positive_emotions_are_very_unhelpful_to_people,EBQ5_It_doesnt_matter_how_hard_people_try_they_cannot_change_their_negative_emotions,EBQ6_People_cannot_learn_techniques_to_effectively_control_their_positive_emotions,EBQ7_People_dont_need_their_negative_emotions,EBQ8_There_is_very_little_use_for_positive_emotions,EBQ9_People_cannot_control_their_negative_emotions,EBQ10_It_doesnt_matter_how_hard_people_try_they_cannot_change_their_positive_emotions,EBQ11_Negative_emotions_are_harmful,EBQ12_People_dont_need_their_positive_emotions,EBQ13_People_cannot_learn_techniques_to_effectively_control_their_negative_emotions,EBQ14_Once_people_are_experiencing_positive_emotions_there_is_nothing_they_can_do_about_modifying_them,EBQ15_The_presence_of_negative_emotions_is_a_bad_thing_for_people,EBQ16_Positive_emotions_are_harmful,password_continue_Please_enter_the_password_here,Q38_How_would_you_rate_your_comprehension_of_the_presentation,Q88_Do_you_think_this_information_is_useful_for_patients,Q90_Do_you_think_this_information_is_useful_for_clinicians,ExAnSt21_Given_the_information_provided_in_this_education_session_how_optimistic_are_you_about_improvement_in_symptoms_in_patients_presenting_with_anxiety_disorder,ExAnSt22_Given_the_information_provided_in_this_education_session_how_willing_do_you_think_patients_would_be_to_share_anxiety_disorder_diagnoses,ExAnSt23_Given_the_information_provided_in_this_education_session_how_effective_do_you_think_a_combination_of_medication_and_psychotherapy_will_be_to_improve_outcomes_in_anxiety_disorder,ExAnSt24_Given_the_information_provided_in_this_education_session_how_effective_do_you_think_psychosocial_interventions_will_be_in_improving_outcomes_in_anxiety_disorder,ExAnSt25_Given_the_information_provided_in_this_education_session_how_strong_a_role_do_individuals_have_to_instigate_or_mitigate_their_anxiety,ExAnSt26_Given_the_information_provided_in_this_education_session_how_unchangeable_are_an_individuals_anxiety_symptoms,ExAnSt27_Given_the_information_provided_in_this_education_session_how_deeply_do_you_feel_you_understand_anxiety_disorders,ExAnSt28_If_the_information_provided_in_this_education_session_was_publicly_known_how_willing_do_you_think_people_would_be_to_seek_psychiatric_help_for_anxiety,Attention2_If_you_are_paying_attention_to_this_questionnaire_please_select_option_2,EBQ21_Once_people_are_experiencing_negative_emotions_there_is_nothing_they_can_do_about_modifying_them,EBQ22_People_cannot_control_their_positive_emotions,EBQ23_There_is_very_little_use_for_negative_emotions,EBQ24_Positive_emotions_are_very_unhelpful_to_people,EBQ25_It_doesnt_matter_how_hard_people_try_they_cannot_change_their_negative_emotions,EBQ26_People_cannot_learn_techniques_to_effectively_control_their_positive_emotions,EBQ27_People_dont_need_their_negative_emotions,EBQ28_There_is_very_little_use_for_positive_emotions,EBQ29_People_cannot_control_their_negative_emotions,EBQ210_It_doesnt_matter_how_hard_people_try_they_cannot_change_their_positive_emotions,EBQ211_Negative_emotions_are_harmful,EBQ212_People_dont_need_their_positive_emotions,EBQ213_People_cannot_learn_techniques_to_effectively_control_their_negative_emotions,EBQ214_Once_people_are_experiencing_positive_emotions_there_is_nothing_they_can_do_about_modifying_them,EBQ215_The_presence_of_negative_emotions_is_a_bad_thing_for_people,EBQ216_Positive_emotions_are_harmful
Evo,Evo_1,0,Evo_1-1,100,3154,1,24,Psychiatry,F1,2,5,5,3,2,3,3,5,4,6,5,7,3,5,5,2,1,3,1,2,2,2,2,2,2,1,2,2,2,1,1,2,continue,5,5,5,7,6,6,6,6,7,6,6,2,2,1,1,2,2,1,2,2,1,2,2,2,1,1,1,2
Evo,Evo_1,0,Evo_1-2,100,3171,1,26,Psychiatry,F2,2,2,2,5,3,3,2,5,3,6,5,7,3,5,2,2,2,2,1,1,2,2,1,1,2,2,3,1,2,2,2,1,continue,4,4,4,5,5,5,5,7,5,4,5,2,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,1
Evo,Evo_1,0,Evo_1-3,100,3216,1,24,FY1 - psychiatry,Fy1,2,2,3,2,3,3,6,4,3,6,6,5,4,4,5,2,3,5,3,1,3,4,2,1,6,6,7,1,3,4,6,1,continue,4,4,5,5,4,7,7,7,4,5,7,2,2,5,2,1,3,4,1,1,3,3,6,1,2,3,2,1
Evo,Evo_1,0,Evo_1-5,100,3215,1,31,GP,ST2,1,6,1,1,1,6,6,7,5,7,4,7,2,4,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,continue,4,3,4,4,5,6,5,5,3,4,5,2,1,4,1,1,7,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_1,0,Evo_1-6,100,3235,1,25,FY1 doctor,FY1 doctor,1,3,3,3,3,3,3,4,5,6,5,7,3,5,4,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,continue,4,4,5,5,5,7,6,7,5,5,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_1,0,Evo_1-7,100,3347,1,24,Psychiatry,Foundation 2,2,5,5,1,2,5,5,5,2,5,6,3,2,5,2,2,2,1,1,1,1,1,1,1,2,2,3,1,2,1,4,2,continue,4,5,5,6,3,7,6,6,6,6,5,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1
Evo,Evo_1,0,Evo_1-8,100,3774,1,26,Junior Doctor,F3,1,6,6,1,1,6,5,4,7,4,4,6,4,5,7,2,1,1,1,4,1,1,4,1,1,1,4,1,1,1,4,4,continue,3,4,4,3,6,5,2,2,2,6,4,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,4
Evo,Evo_10,1,Evo_10-1,100,2229,1,39,General adult psychiatry,ST5,2,3,3,3,2,5,2,5,4,6,6,5,5,5,4,2,2,2,3,1,2,2,2,2,3,2,3,2,2,2,2,1,continue,3,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Evo,Evo_10,1,Evo_10-2,100,2255,1,32,General Adult Psychiatry,ST6,1,3,3,2,2,5,2,5,3,7,7,7,2,5,4,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,continue,4,3,4,7,4,7,7,7,7,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_10,1,Evo_10-4,100,2276,1,32,Psychiatry,ST5,2,6,6,1,1,5,6,6,7,5,7,6,2,4,4,2,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,1,continue,5,5,5,7,7,6,7,6,6,5,6,2,1,1,2,2,2,2,1,2,1,2,3,1,2,2,2,1
Evo,Evo_10,1,Evo_10-5,100,2272,1,34,Psychiatry,ST6,2,3,3,2,2,3,2,5,5,5,5,5,3,5,4,2,2,3,1,1,2,2,1,1,1,2,3,1,2,2,3,1,continue,3,3,4,5,6,6,5,6,5,5,5,2,1,1,2,1,1,2,3,1,3,2,2,1,2,1,2,1
Evo,Evo_10,1,Evo_10-6,100,2232,1,29,Psychiatry,ST4,2,5,3,2,2,5,5,7,3,6,5,5,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,continue,5,5,5,7,4,6,5,5,6,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_10,1,Evo_10-7,100,2287,1,34,Psychiatry,ST7,1,5,3,1,2,2,3,5,3,5,5,3,3,5,4,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,continue,3,4,4,4,5,5,4,4,4,5,4,2,3,3,1,1,1,2,1,1,2,2,1,1,2,2,1,1
Evo,Evo_10,1,Evo_10-8,100,2142,1,32,Adult psychiatry,ST6,1,3,5,2,2,5,3,5,4,5,5,6,4,5,3,2,3,5,1,1,3,3,1,1,3,3,2,1,3,3,1,3,continue,4,4,4,5,5,6,6,5,5,6,5,2,3,5,1,1,3,3,1,1,1,3,1,1,3,3,1,1
Evo,Evo_10,1,Evo_10-9,100,2291,1,33,General adult psychiatry,St4,1,5,6,1,2,6,6,5,4,5,3,6,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,continue,5,3,4,5,5,5,5,5,5,5,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
